rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum0,btc-updown-5m-1784314800,2026-07-17T19:00:00,NO,NO,True,0.55,0.44999999999999996,5,1,302.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784314800,2026-07-17T19:00:00,NO,NO,True,0.55,0.44999999999999996,5,1,302.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784315100,2026-07-17T19:05:00,NO,NO,True,0.53,0.47,5,1,486.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784315100,2026-07-17T19:05:00,NO,NO,True,0.53,0.47,5,1,486.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784315400,2026-07-17T19:10:00,YES,NO,False,0.51,-0.51,5,0,319.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784315700,2026-07-17T19:15:00,YES,NO,False,0.52,-0.52,5,1,311.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784315700,2026-07-17T19:15:00,YES,NO,False,0.52,-0.52,5,1,311.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784315700,2026-07-17T19:15:00,NO,NO,True,0.52,0.48,5,3,665.0,loser_reclaimed_bid
support5_vacuum3,btc-updown-5m-1784315700,2026-07-17T19:15:00,NO,NO,True,0.52,0.48,5,3,665.0,loser_reclaimed_bid
support5_vacuum4,btc-updown-5m-1784315700,2026-07-17T19:15:00,NO,NO,True,0.56,0.43999999999999995,5,4,719.0,winner_residual_ask_repriced
support5_vacuum0,btc-updown-5m-1784316000,2026-07-17T19:20:00,YES,NO,False,0.51,-0.51,5,0,308.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784316300,2026-07-17T19:25:00,YES,YES,True,0.54,0.45999999999999996,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784316300,2026-07-17T19:25:00,YES,YES,True,0.54,0.45999999999999996,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784316600,2026-07-17T19:30:00,YES,YES,True,0.51,0.49,5,0,306.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784316600,2026-07-17T19:30:00,YES,YES,True,0.51,0.49,5,1,659.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784316600,2026-07-17T19:30:00,YES,YES,True,0.52,0.48,5,2,927.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784316600,2026-07-17T19:30:00,YES,YES,True,0.55,0.44999999999999996,5,3,993.0,loser_bid_depth_decay_insufficient
support5_vacuum4,btc-updown-5m-1784316600,2026-07-17T19:30:00,YES,YES,True,0.55,0.44999999999999996,5,4,999.0,winner_residual_ask_repriced
support5_vacuum0,btc-updown-5m-1784316900,2026-07-17T19:35:00,YES,YES,True,0.51,0.49,5,0,324.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784316900,2026-07-17T19:35:00,NO,YES,False,0.55,-0.55,5,3,840.0,loser_reclaimed_bid
support5_vacuum2,btc-updown-5m-1784316900,2026-07-17T19:35:00,NO,YES,False,0.55,-0.55,5,3,840.0,loser_reclaimed_bid
support5_vacuum3,btc-updown-5m-1784316900,2026-07-17T19:35:00,NO,YES,False,0.55,-0.55,5,3,840.0,loser_reclaimed_bid
support5_vacuum4,btc-updown-5m-1784316900,2026-07-17T19:35:00,NO,YES,False,0.55,-0.55,5,4,871.0,winner_residual_ask_repriced
support5_vacuum0,btc-updown-5m-1784317200,2026-07-17T19:40:00,NO,YES,False,0.53,-0.53,5,1,487.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784317200,2026-07-17T19:40:00,NO,YES,False,0.53,-0.53,5,1,487.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784317500,2026-07-17T19:45:00,NO,NO,True,0.51,0.49,5,1,534.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784317500,2026-07-17T19:45:00,NO,NO,True,0.51,0.49,5,1,534.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784317500,2026-07-17T19:45:00,NO,NO,True,0.51,0.49,5,2,549.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784317800,2026-07-17T19:50:00,NO,YES,False,0.51,-0.51,5,1,423.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784317800,2026-07-17T19:50:00,NO,YES,False,0.51,-0.51,5,1,423.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784318100,2026-07-17T19:55:00,YES,NO,False,0.51,-0.51,5,0,305.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784318100,2026-07-17T19:55:00,NO,NO,True,0.5700000000000001,0.42999999999999994,5,4,892.0,winner_residual_ask_repriced
support5_vacuum2,btc-updown-5m-1784318100,2026-07-17T19:55:00,NO,NO,True,0.5700000000000001,0.42999999999999994,5,4,892.0,winner_residual_ask_repriced
support5_vacuum3,btc-updown-5m-1784318100,2026-07-17T19:55:00,NO,NO,True,0.5700000000000001,0.42999999999999994,5,4,892.0,winner_residual_ask_repriced
support5_vacuum4,btc-updown-5m-1784318100,2026-07-17T19:55:00,NO,NO,True,0.5700000000000001,0.42999999999999994,5,4,892.0,winner_residual_ask_repriced
support5_vacuum0,btc-updown-5m-1784318400,2026-07-17T20:00:00,NO,NO,True,0.53,0.47,5,1,364.0,loser_bid_drop_insufficient
